t_s,voltage
0.794,3.524
1.736,3.524
2.711,3.534
3.653,3.529
4.619,3.514
5.578,3.534
6.561,3.539
7.474,3.519
8.424,3.519
9.416,3.529
10.427,3.529
11.447,3.529
12.447,3.524
13.463,3.529
14.491,3.534
15.498,3.539
16.514,3.514
17.480,3.534
18.447,3.534
19.410,3.534
20.372,3.534
21.335,3.524
22.289,3.534
23.239,3.529
24.153,3.514
25.083,3.539
26.021,3.519
26.975,3.534
27.941,3.529
28.896,3.529
29.850,3.534
30.817,3.534
31.763,3.539
32.684,3.534
33.623,3.524
34.581,3.514
35.535,3.539
36.481,3.534
37.399,3.524
38.337,3.524
39.283,3.514
40.237,3.539
41.167,3.524
42.093,3.529
43.047,3.529
44.006,3.539
44.931,3.539
45.857,3.534
46.799,3.524
47.745,3.534
48.650,3.529
49.556,3.519
50.473,3.539
51.391,3.524
52.308,3.514
53.185,3.534
54.053,3.519
54.917,3.529
55.810,3.519
56.723,3.534
57.625,3.534
58.489,3.529
59.373,3.524
