t_s,voltage
1.361,3.524
2.209,3.529
3.036,3.529
3.827,3.539
4.642,3.524
5.461,3.539
6.296,3.539
7.132,3.529
7.943,3.539
8.733,3.519
9.565,3.524
10.396,3.519
11.232,3.519
12.051,3.534
12.870,3.524
13.706,3.514
14.545,3.529
15.393,3.524
16.204,3.534
17.015,3.539
17.834,3.539
18.654,3.519
19.493,3.509
20.300,3.529
21.091,3.524
21.889,3.529
22.704,3.519
23.544,3.519
24.376,3.514
25.170,3.539
25.985,3.519
26.813,3.529
27.648,3.514
28.475,3.534
29.266,3.534
30.077,3.514
30.908,3.529
31.732,3.534
32.514,3.524
33.321,3.539
34.124,3.539
34.955,3.529
35.770,3.539
36.553,3.534
37.360,3.539
38.187,3.539
39.010,3.539
39.813,3.514
40.591,3.539
41.394,3.539
42.209,3.529
43.024,3.519
43.802,3.529
44.605,3.539
45.412,3.539
46.227,3.534
47.034,3.524
47.800,3.539
48.590,3.534
49.393,3.534
50.196,3.534
50.962,3.534
51.736,3.514
52.526,3.539
53.325,3.539
54.099,3.524
54.857,3.539
55.656,3.539
56.455,3.529
57.241,3.524
57.999,3.539
58.797,3.539
59.596,3.539
