t_s,voltage
2.595,3.763
3.173,3.759
3.742,3.773
4.303,3.754
4.905,3.754
5.528,3.773
6.105,3.773
6.708,3.768
7.326,3.773
7.912,3.763
8.522,3.763
9.149,3.768
9.734,3.768
10.345,3.773
10.963,3.773
11.553,3.763
12.159,3.773
12.782,3.768
13.375,3.759
13.982,3.773
14.613,3.759
15.210,3.773
15.833,3.763
16.464,3.754
17.078,3.768
17.721,3.768
18.336,3.763
18.962,3.773
19.601,3.773
20.216,3.768
20.854,3.749
21.510,3.763
22.137,3.763
22.796,3.768
23.431,3.768
24.066,3.763
24.737,3.754
25.380,3.768
26.052,3.763
26.748,3.773
27.400,3.754
28.075,3.768
28.718,3.763
29.374,3.768
30.033,3.759
30.668,3.773
31.328,3.773
31.958,3.768
32.610,3.759
33.285,3.763
33.916,3.754
34.580,3.749
35.239,3.759
35.890,3.768
36.582,3.754
37.238,3.773
37.910,3.763
38.594,3.768
39.245,3.768
39.921,3.759
40.564,3.754
41.231,3.768
41.903,3.763
42.558,3.768
43.234,3.759
43.877,3.768
44.542,3.759
45.216,3.759
45.872,3.773
46.556,3.773
47.224,3.768
47.912,3.768
48.616,3.768
49.292,3.768
49.996,3.759
50.680,3.754
51.352,3.759
52.044,3.763
52.745,3.768
53.416,3.773
54.117,3.763
54.842,3.759
55.517,3.773
56.214,3.768
56.943,3.763
57.635,3.773
58.315,3.768
59.011,3.768
59.740,3.754
