t_s,voltage
0.609,3.558
1.227,3.558
1.825,3.568
2.427,3.563
3.038,3.563
3.644,3.568
4.238,3.553
4.815,3.548
5.397,3.548
5.978,3.553
6.593,3.558
7.211,3.563
7.862,3.543
8.543,3.558
9.214,3.563
9.857,3.543
10.500,3.573
11.152,3.568
11.790,3.568
12.413,3.548
13.052,3.548
13.695,3.548
14.314,3.543
14.948,3.568
15.596,3.553
16.247,3.568
16.873,3.548
17.517,3.558
18.164,3.558
18.807,3.568
19.441,3.553
20.093,3.548
20.769,3.568
21.432,3.558
22.092,3.568
22.771,3.568
23.464,3.558
24.131,3.568
24.807,3.558
25.487,3.548
26.150,3.568
26.781,3.558
27.428,3.563
28.080,3.568
28.715,3.558
29.341,3.563
29.972,3.568
30.611,3.568
31.225,3.548
31.852,3.548
32.487,3.548
33.126,3.568
33.748,3.568
34.395,3.553
35.067,3.543
35.735,3.558
36.366,3.573
37.001,3.558
37.643,3.573
38.266,3.563
38.877,3.548
39.499,3.553
40.134,3.573
40.756,3.568
41.387,3.573
42.034,3.568
42.702,3.573
43.349,3.568
44.004,3.563
44.668,3.568
45.344,3.558
45.987,3.568
46.622,3.573
47.257,3.568
47.875,3.553
48.477,3.558
49.088,3.563
49.718,3.548
50.337,3.568
50.963,3.568
51.615,3.548
52.278,3.548
52.913,3.573
53.585,3.553
54.253,3.558
54.891,3.553
55.543,3.573
56.198,3.543
56.825,3.568
57.447,3.563
58.078,3.568
58.700,3.568
59.307,3.573
59.933,3.548
