t_s,voltage
0.016,3.470
0.662,3.509
1.444,3.500
2.255,3.519
3.049,3.519
3.811,3.504
4.614,3.519
5.409,3.519
6.212,3.519
7.026,3.509
7.833,3.504
8.640,3.519
9.443,3.519
10.242,3.514
11.004,3.519
11.749,3.514
12.527,3.504
13.297,3.519
14.076,3.519
14.825,3.519
15.562,3.519
16.332,3.514
17.172,3.504
18.020,3.504
18.868,3.524
19.703,3.514
20.514,3.519
21.280,3.519
22.079,3.514
22.870,3.519
23.652,3.519
24.418,3.509
25.196,3.524
25.958,3.509
26.719,3.514
27.473,3.524
28.231,3.519
28.997,3.514
29.775,3.519
30.537,3.524
31.303,3.514
32.060,3.509
32.814,3.519
33.559,3.514
34.289,3.524
35.022,3.519
35.779,3.524
36.521,3.504
37.283,3.509
37.995,3.524
38.733,3.509
39.470,3.524
40.228,3.504
40.944,3.509
41.674,3.504
42.435,3.519
43.189,3.519
43.934,3.504
44.659,3.509
45.413,3.509
46.187,3.524
46.945,3.519
47.686,3.500
48.415,3.500
49.177,3.504
49.943,3.500
50.705,3.504
51.463,3.504
52.204,3.524
52.978,3.514
53.748,3.504
54.543,3.524
55.333,3.514
56.079,3.519
56.845,3.504
57.627,3.519
58.389,3.514
59.110,3.519
59.835,3.519
