t_s,voltage
0.017,3.475
0.779,3.514
1.353,3.524
1.926,3.509
2.487,3.524
3.053,3.524
3.622,3.514
4.195,3.529
4.757,3.509
5.326,3.514
5.903,3.524
6.485,3.524
7.058,3.519
7.648,3.529
8.246,3.524
8.852,3.519
9.446,3.524
10.048,3.509
10.659,3.524
11.265,3.519
11.859,3.509
12.457,3.514
13.055,3.529
13.636,3.524
14.222,3.519
14.804,3.519
15.390,3.524
15.963,3.524
16.544,3.519
17.126,3.514
17.712,3.524
18.298,3.529
18.871,3.504
19.452,3.509
20.038,3.529
20.636,3.519
21.226,3.524
21.828,3.529
22.442,3.519
23.061,3.524
23.667,3.509
24.273,3.519
24.884,3.514
25.494,3.509
26.092,3.519
26.690,3.524
27.296,3.509
27.894,3.519
28.488,3.524
29.086,3.509
29.688,3.524
30.294,3.524
30.892,3.524
31.503,3.519
32.121,3.524
32.743,3.524
33.358,3.514
33.980,3.509
34.607,3.514
35.234,3.504
35.848,3.519
36.459,3.519
37.069,3.519
37.679,3.524
38.273,3.514
38.879,3.509
39.489,3.524
40.116,3.524
40.743,3.519
41.361,3.524
41.992,3.514
42.627,3.524
43.258,3.524
43.880,3.524
44.503,3.514
45.129,3.514
45.744,3.529
46.358,3.524
46.977,3.519
47.587,3.524
48.193,3.529
48.791,3.529
49.393,3.529
49.995,3.514
50.585,3.529
51.171,3.509
51.769,3.524
52.359,3.529
52.953,3.514
53.546,3.524
54.144,3.509
54.726,3.519
55.320,3.524
55.914,3.509
56.504,3.519
57.089,3.519
57.675,3.509
58.249,3.524
58.822,3.524
59.399,3.514
59.977,3.524
