t_s,voltage
0.248,3.749
0.920,3.773
1.600,3.773
2.264,3.778
2.931,3.778
3.578,3.778
4.250,3.773
4.942,3.773
5.618,3.768
6.318,3.759
7.031,3.759
7.736,3.763
8.428,3.763
9.141,3.763
9.878,3.778
10.587,3.773
11.307,3.773
12.036,3.768
12.761,3.778
13.449,3.773
14.166,3.778
14.899,3.778
15.616,3.768
16.357,3.773
17.115,3.763
17.881,3.773
18.606,3.778
19.368,3.763
20.126,3.763
20.842,3.759
21.592,3.763
22.346,3.778
23.054,3.773
23.787,3.763
24.520,3.773
25.221,3.773
25.917,3.778
26.622,3.768
27.346,3.773
28.039,3.773
28.751,3.763
29.435,3.773
30.111,3.778
30.771,3.763
31.455,3.759
32.159,3.759
32.839,3.763
33.539,3.763
34.256,3.773
34.965,3.763
35.657,3.754
36.370,3.778
37.119,3.763
37.832,3.778
38.569,3.763
39.323,3.778
40.056,3.773
40.777,3.773
41.518,3.773
42.276,3.763
42.988,3.778
43.726,3.763
44.467,3.773
45.167,3.759
45.901,3.773
46.650,3.759
47.363,3.773
48.100,3.763
48.841,3.778
49.558,3.778
50.279,3.759
51.004,3.763
51.717,3.768
52.433,3.759
53.175,3.763
53.916,3.773
54.629,3.768
55.366,3.759
56.107,3.768
56.812,3.768
57.533,3.768
58.253,3.754
58.938,3.773
59.650,3.763
